"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"2629","Kurtlar vadisi - Irak",2006,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Action",8300000,0,24906717,24906717,0,NA,2006-11-24,NA,NA,0,0
"2630","Turistas",2006,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",10000000,7027762,7293308,14321070,9543924,"R",2006-12-01,"Turistas - Teenage Slasher",NA,3582554,1570
"2631","The Nativity Story",2006,0,NA,"Dramatization","Based on Religious Text","Live Action","Drama",35000000,37629831,8679813,46309644,51042399,"PG",2006-12-01,"The Nativity Story - Religious",NA,7849304,3083
"2632","Apocalypto",2006,0,138,"Historical Fiction","Original Screenplay","Live Action","Adventure",40000000,50866635,70165637,121032272,68581255,"R",2006-12-08,"Apocalypto - Dead Language","Icon Distribution, Inc.",15005604,2465
"2633","Unaccompanied Minors",2006,0,87,"Contemporary Fiction","Original Screenplay","Live Action","Adventure",25000000,16655224,5315607,21970831,22522465,"PG",2006-12-08,"Unaccompanied Minors - Christmas",NA,5815474,2775
"2634","Blood Diamond",2006,0,143,"Historical Fiction","Original Screenplay","Live Action","Action",100000000,57377916,114000000,171377916,76552772,"R",2006-12-08,"Blood Diamond - Child Soldier","Initial Entertainment Group",8648324,1910
"2635","The Holiday",2006,0,135,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",85000000,63280000,141910324,205190324,85123480,"PG-13",2006-12-08,"The Holiday - Christmas","Columbia Pictures",12778913,2610
"2636","Charlotte's Web",2006,0,97,"Fantasy","Based on Fiction Book/Short Story","Live Action","Drama",82500000,82985708,61000000,143985708,110799598,"G",2006-12-15,"Charlotte's Web - Talking Animals","Nickelodeon Films",11457353,3566
"2637","Eragon",2006,0,NA,"Fantasy","Based on Fiction Book/Short Story","Animation/Live Action","Adventure",100000000,75030163,174457952,249488115,100736501,"PG",2006-12-15,"Eragon - Sword & Sorcerer","Davis Entertainment",23239907,3020
"2638","Arthur et les Minimoys",2006,0,94,"Fantasy","Based on Fiction Book/Short Story","Animation/Live Action","Adventure",80000000,15132763,98192980,113325743,19575808,"PG",2006-12-15,NA,NA,4294936,2247
"2639","The Pursuit of Happyness",2006,0,117,"Dramatization","Based on Real Life Events","Live Action","Drama",55000000,162586036,144739597,307325633,216735924,"PG-13",2006-12-15,"The Pursuit of Happyness - Rags to Riches","Columbia Pictures",26541709,2852
"2640","Rocky Balboa",2006,1,NA,"Contemporary Fiction",NA,"Live Action","Drama",24000000,70269899,85959151,156229050,94025937,"PG",2006-12-20,"Rocky Balboa - Boxing",NA,12158168,3017
"2641","The Painted Veil",2006,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",19400000,8060487,7058308,15118795,10459494,"PG-13",2006-12-20,"The Painted Veil - Costume Drama",NA,51085,4
